,fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
36,21.0,9.8,7.0,23.3,0.583,29.5,7.2,2018-19,Paul George,0.5975609756097561,0.0,356.0,1010.0,0.352,77.0,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
37,15.1,3.4,4.4,26.3,0.589,27.4,9.1,2018-19,Nikola Jokić,0.6585365853658537,0.0,212.0,1010.0,0.21,80.0,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
38,19.4,11.7,4.2,24.4,0.641,30.4,6.6,2018-19,Stephen Curry,0.6951219512195121,0.0,175.0,1010.0,0.173,69.0,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199
39,19.2,8.0,6.4,23.7,0.588,29.3,6.4,2018-19,Damian Lillard,0.6463414634146342,0.0,69.0,1010.0,0.068,80.0,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
40,18.7,4.1,10.1,26.1,0.593,33.3,4.9,2018-19,Joel Embiid,0.6219512195121951,0.0,49.0,1010.0,0.049,64.0,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194
41,17.7,5.0,6.5,24.2,0.631,29.0,5.5,2018-19,Kevin Durant,0.6951219512195121,0.0,25.0,1010.0,0.025,78.0,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
42,18.8,5.0,7.1,25.8,0.606,30.3,7.2,2018-19,Kawhi Leonard,0.7073170731707317,0.0,13.0,1010.0,0.013,60.0,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
43,20.2,5.6,6.2,21.1,0.501,30.9,5.2,2018-19,Russell Westbrook,0.5975609756097561,0.0,8.0,1010.0,0.008,73.0,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
44,8.8,0.0,6.4,24.6,0.682,17.8,5.4,2018-19,Rudy Gobert,0.6097560975609756,0.0,1.0,1010.0,0.001,81.0,31.8,15.9,12.9,2.0,0.8,2.3,0.669,0.0,0.636,14.4,0.268
45,19.9,5.9,7.6,25.6,0.588,31.6,8.0,2018-19,LeBron James,0.45121951219512196,0.0,1.0,1010.0,0.001,55.0,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179
